,dominant_emotion,emotionFolder,imageName,emotion.angry,emotion.disgust,emotion.fear,emotion.happy,emotion.sad,emotion.surprise,emotion.neutral,region.x,region.y,region.w,region.h
0,happy,happy,S137_011_00000020.png,7.396957410381533e-15,1.5157575422644163e-26,1.9304038355359317e-18,99.99825954437256,2.6803947651915863e-12,1.34958396454804e-10,0.0017457850844948553,151,89,294,294
0,happy,happy,S011_006_00000013.png,3.397188433340581e-09,2.4992975189137976e-21,8.719423837469376e-11,99.92011189460754,7.301725446495766e-07,3.8677208273130495e-12,0.07989217992872,219,84,344,344
0,happy,happy,S037_006_00000021.png,3.1640028855846176e-10,3.2974959446894624e-16,7.390957264873373e-06,99.99848008146763,1.2631004773357885e-07,5.0693546828727366e-08,0.0015132437503525057,231,92,255,255
0,happy,happy,S124_007_00000024.png,4.0916905644711215e-21,0.0,3.0978348432756717e-27,100.0,1.3081789493898674e-18,8.928358926317935e-19,2.0839190373322936e-07,151,82,245,245
0,sad,happy,S060_002_00000026.png,1.081326065414391e-09,7.52972382166138e-16,1.3469855172625493,4.948296320336838,92.45807483542411,1.0554640430147026e-08,1.2466446308281798,180,115,310,310
0,sad,sad,S095_010_00000014.png,5.081888427509257,0.0001607967682721628,11.453487848819751,0.0029260403757489584,68.31322094044435,0.0005459038024558111,15.14776913550268,169,65,305,305
0,sad,sad,S115_004_00000017.png,6.476044681792818,0.0017822276582593474,16.95097141873496,0.007747212853648928,71.3793899273145,0.03672680906116176,5.147341507356346,141,71,303,303
0,neutral,sad,S137_005_00000027.png,0.5789895421409335,5.811424133026996e-07,0.08241147643358865,0.00024958198205841177,1.7296656134525308,0.03859884102859146,97.57008538067849,157,97,286,286
0,neutral,sad,S503_006_00000020.png,16.346723815603482,0.027400908762270734,15.192788254784837,0.6533379124604412,28.72702650588909,0.32856799292224603,38.724150581607255,165,106,321,321
0,sad,sad,S138_007_00000011.png,19.114318139214404,0.001353790674986181,5.31471589593386,0.0005365665721587238,73.42657288471298,0.0029948638223426275,2.1395092242663636,171,73,282,282
0,sad,fear,S124_003_00000011.png,2.1691367633202234e-20,9.317084740903201e-33,5.336157471447223e-06,0.08346757385879755,54.42128777503967,4.00352273653819e-22,45.49523890018463,129,83,262,262
0,fear,fear,S059_002_00000017.png,2.685293037003125e-07,3.928252068744984e-12,91.94960546193155,0.017487348983241557,0.00013381226951380168,2.411445932772513,5.621334872921399,217,93,302,302
0,neutral,fear,S119_003_00000024.png,3.0488470770251297e-05,1.070545995601746e-09,6.1328306794166565,0.00343910651281476,43.3828741312027,1.3891302330648614e-06,50.4808247089386,161,63,275,275
0,angry,fear,S501_004_00000056.png,39.400190114974976,0.0019914214135496877,3.8301795721054077,2.3626934736967087,12.047535926103592,7.026603817939758,35.33080518245697,199,76,338,338
