,dominant_emotion,emotionFolder,imageName,emotion.angry,emotion.disgust,emotion.fear,emotion.happy,emotion.sad,emotion.surprise,emotion.neutral,region.x,region.y,region.w,region.h
0,happy,happy,S137_011_00000020.png,2.1936392702315288e-07,2.860060719939114e-16,4.560123112451464e-09,97.0197081565857,1.3248908636853685e-06,0.0036506884498521686,2.9766416177153587,47,52,114,114
0,happy,happy,S011_006_00000013.png,7.339645773423423e-07,2.990076540997474e-19,2.172974251122122e-11,99.9968945978221,8.39745961748759e-09,3.1429494128635404e-10,0.003107558771859632,72,51,130,130
0,happy,happy,S037_006_00000021.png,0.004885837843356302,4.9367094690362065e-06,7.358225128544874,75.55140707203192,12.267139540144179,8.548028572662225e-06,4.81833099236077,75,48,102,102
0,happy,happy,S124_007_00000024.png,1.1013977996299218e-05,2.7190060421141684e-13,3.3332824347920287e-10,99.9961256980896,1.9576876297833223e-05,1.8830721426610353e-07,0.0038474987377412617,46,42,100,100
0,happy,happy,S060_002_00000026.png,1.9773828408009564e-09,5.269007119089012e-17,3.58687607610389e-11,99.97766613960266,2.081096232842139e-09,2.2817280864728673e-05,0.022312744113150984,56,61,123,123
0,fear,happy,S064_003_00000025.png,10.291959345340729,0.10536379413679242,34.73166227340698,7.911583781242371,2.5471480563282967,31.86129927635193,12.55098283290863,46,32,116,116
0,happy,happy,S089_002_00000021.png,7.640987907575519e-11,1.1002957317171744e-14,2.1459878557082374e-09,99.99374747239038,1.0553271241969181e-05,4.536269963594396e-08,0.006241915624805354,37,33,124,124
0,sad,happy,26106e3085094155b0b91ad9158d41af.png,7.361684311035788e-05,5.114953864904237e-05,3.130173683166504,0.44805468060076237,96.23147249221802,3.139996707091086e-07,0.1901782234199345,67,66,63,63
0,sad,sad,S095_010_00000014.png,28.391235662551445,0.0011784143185130946,3.740265892116321,0.0037576864155858185,66.62383477403704,0.02563960428175577,1.2140850951868183,52,35,122,122
0,fear,sad,S115_004_00000017.png,1.7616291649120548,1.451602591387236e-07,53.619626380182886,0.07360137390018248,25.25978834985425,19.26905329639037,0.01630445137246036,40,39,123,123
0,sad,sad,S137_005_00000027.png,4.2772118002176285,0.0003932398158212891,4.342399910092354,0.0002280055468872888,77.29164361953735,0.13550500152632594,13.952618837356567,48,52,115,115
0,fear,sad,S503_006_00000020.png,3.78594942605194,0.31093374816678454,83.78192089688307,0.0016088320130042254,11.783293591934061,0.14562793944048522,0.19067003131181187,42,64,117,117
0,sad,sad,S138_007_00000011.png,0.3967300523072481,5.162924026080873e-05,26.969078183174133,8.80333516306564e-05,72.55736589431763,0.005630567829939537,0.07105524418875575,54,42,109,109
0,sad,sad,S046_001_00000025.png,0.042309751734137535,0.00021068410660518566,4.27309051156044,1.083677727729082,71.36108875274658,0.07387711084447801,23.16575050354004,56,57,104,104
0,fear,sad,S506_006_00000042.png,1.7542414367198944,0.01252174552064389,74.86194968223572,0.001212364441016689,18.82188469171524,4.174267873167992,0.37392599042505026,40,37,128,128
0,sad,sad,S011_002_00000022.png,0.15795811777934432,1.0289093863480488e-12,0.6412176880985498,2.3296274775930215e-05,98.77007007598877,4.793620860255032e-05,0.4306845832616091,70,52,133,133
0,sad,fear,S124_003_00000011.png,1.0894893301142061,9.022030310353726e-10,1.6940692282832588,3.5443890260823687e-07,97.21372160747985,0.0014740507202015798,0.0012432892045031597,40,46,101,101
0,happy,fear,S059_002_00000017.png,2.8419245034456253,4.028933631161635e-06,0.0207931429031305,50.53510069847107,0.32872087322175503,0.006897171260789037,46.26655876636505,71,53,117,117
0,surprise,fear,S119_003_00000024.png,0.14024211231199576,0.0016662907994050636,41.68163488397806,0.0001472600817131358,0.028712298336985607,58.14751137182184,9.037645979598135e-05,52,38,105,105
0,surprise,fear,S501_004_00000056.png,2.0590375473521676,0.5750544246318593,5.255062818828989,3.7223170410886905e-05,0.2929369627944805,91.8047006013811,0.01317194043007138,52,48,129,129
0,fear,fear,S046_003_00000016.png,2.534289587651442,0.007766117976571527,42.65717180456779,0.0941622765294941,40.9331102291477,0.02446365252262682,13.749043792372202,60,55,101,101
0,fear,fear,S138_001_00000012.png,1.7975960998294414,1.2069364797733115,86.75224702073616,0.07876100604487991,9.856578550134811,0.02773295729412629,0.28014850609889663,52,39,112,112
